thread_name,thread_url
Metatrader5 and Python,https://www.forexfactory.com/thread/991133-metatrader5-and-python
Draw a freehand line from A to B to C in MT4,https://www.forexfactory.com/thread/651303-draw-a-freehand-line-from-a-to-b
Monthly/Weekly Open Line,https://www.forexfactory.com/thread/88977-monthlyweekly-open-line
alert for candle closing above/below simple moving average,https://www.forexfactory.com/thread/814153-alert-for-candle-closing-abovebelow-simple-moving-average
multi time frame fair value gap/imbalance indicator required,https://www.forexfactory.com/thread/1183350-multi-time-frame-fair-value-gapimbalance-indicator-required
Display comments mql in corner,https://www.forexfactory.com/thread/326577-display-comments-mql-in-corner
Horizontal Lines change colour automatically,https://www.forexfactory.com/thread/570016-horizontal-lines-change-colour-automatically
MT4 terminal color change,https://www.forexfactory.com/thread/560353-mt4-terminal-color-change
Text Notes indicator,https://www.forexfactory.com/thread/560852-text-notes-indicator
Need indicator that draws horizontal line at candles high/low,https://www.forexfactory.com/thread/438568-need-indicator-that-draws-horizontal-line-at-candles
Setting up Bookmap for FX,https://www.forexfactory.com/thread/1203761-setting-up-bookmap-for-fx
DIY nonprogrammers : Add alert to indicator,https://www.forexfactory.com/thread/866659-diy-nonprogrammers-add-alert-to-indicator
Horizontal line alert indicator for new mt4?,https://www.forexfactory.com/thread/593521-horizontal-line-alert-indicator-for-new-mt4
Symbol Changer Profit Display,https://www.forexfactory.com/thread/703669-symbol-changer-profit-display
MTF Dashboard thread,https://www.forexfactory.com/thread/519747-mtf-dashboard-thread
Script to delete only certain objects,https://www.forexfactory.com/thread/291649-script-to-delete-only-certain-objects
10-30 EMA Cross & 200 EMA as a Filter?,https://www.forexfactory.com/thread/1221604-10-30-ema-cross-200-ema-as-a
MT4 platform and 4k monitor,https://www.forexfactory.com/thread/594600-mt4-platform-and-4k-monitor
FxArt.Trader (Tools),https://www.forexfactory.com/thread/1226463-fxarttrader-tools
SSL Fastbar indicator and EA (with non lag MA),https://www.forexfactory.com/thread/1198722-ssl-fastbar-indicator-and-ea-with-non-lag
Adding Email/SMS Alert to Indicator,https://www.forexfactory.com/thread/271524-adding-emailsms-alert-to-indicator
Update mt4 charts less frequently?,https://www.forexfactory.com/thread/378123-update-mt4-charts-less-frequently
EA that can open buy or sell order each bullish or bearish candle,https://www.forexfactory.com/thread/1205169-ea-that-can-open-buy-or-sell-order
Make your trend lines execute your orders,https://www.forexfactory.com/thread/297607-make-your-trend-lines-execute-your-orders
EA for Pending Orders Set at Specific Time,https://www.forexfactory.com/thread/1078235-ea-for-pending-orders-set-at-specific-time
Equity drawdown indicator or tool - Where to find?,https://www.forexfactory.com/thread/1226285-equity-drawdown-indicator-or-tool-where-to
Looking for a Round Numbers Indicator,https://www.forexfactory.com/thread/1226664-looking-for-a-round-numbers-indicator
Close All Trade Button on Screen (EA),https://www.forexfactory.com/thread/594400-close-all-trade-button-on-screen-ea
"EA 1-3% a Day + EA EMA 200 , Live & Demo",https://www.forexfactory.com/thread/1225326-ea-1-3-a-day-ea-ema-200
Fibonnaci retracements indicator,https://www.forexfactory.com/thread/834000-fibonnaci-retracements-indicator
C-12's PA and Risk Management Tools,https://www.forexfactory.com/thread/956198-c-12s-pa-and-risk-management-tools
Indicator Bank,https://www.forexfactory.com/thread/594890-indicator-bank
"MetaQuotes ""This is the last MT4 upgrade""",https://www.forexfactory.com/thread/615209-metaquotes-this-is-the-last-mt4-upgrade
Market Sessions Indicator Problem,https://www.forexfactory.com/thread/394497-market-sessions-indicator-problem
Downloading from mql5-site & getting mql4-buy error,https://www.forexfactory.com/thread/1225090-downloading-from-mql5-site-getting-mql4-buy-error
Market watch clock,https://www.forexfactory.com/thread/1226143-market-watch-clock
MT4 Order Blocks,https://www.forexfactory.com/thread/547698-mt4-order-blocks
MTF fractal indicator,https://www.forexfactory.com/thread/571077-mtf-fractal-indicator
CMC Markets symbols description on MT4,https://www.forexfactory.com/thread/1226000-cmc-markets-symbols-description-on-mt4
MT4 on Microsoft Surface Pro,https://www.forexfactory.com/thread/1043456-mt4-on-microsoft-surface-pro
MT4 - Terminal window in separate window?,https://www.forexfactory.com/thread/521581-mt4-terminal-window-in-separate-window
Script showing hours passed since weekly open and AWR,https://www.forexfactory.com/thread/1225455-script-showing-hours-passed-since-weekly-open-and
Layering Multiple Orders From One Price Point (EA),https://www.forexfactory.com/thread/1078397-layering-multiple-orders-from-one-price-point-ea
Indicator that draws vertical line at certain time?,https://www.forexfactory.com/thread/169761-indicator-that-draws-vertical-line-at-certain-time
"Market Statistics (Volume Histogram, VWAP with SD bands)",https://www.forexfactory.com/thread/189511-market-statistics-volume-histogram-vwap-with-sd-bands
Chat GPT generated code not working in the backtester,https://www.forexfactory.com/thread/1198918-chat-gpt-generated-code-not-working-in-the
VPS for Forex - And full managed or self managed?,https://www.forexfactory.com/thread/1224370-vps-for-forex-and-full-managed-or
MT4 navigational tips and techniques,https://www.forexfactory.com/thread/67529-mt4-navigational-tips-and-techniques
Google calendar integration,https://www.forexfactory.com/thread/434097-google-calendar-integration
Double stochastic indicator,https://www.forexfactory.com/thread/562135-double-stochastic-indicator
How to program Higher-High Higher-Low,https://www.forexfactory.com/thread/43483-how-to-program-higher-high-higher-low
Sessions Indicator,https://www.forexfactory.com/thread/239188-sessions-indicator
Will code your crazy ideas,https://www.forexfactory.com/thread/747829-will-code-your-crazy-ideas
Easy mt4 trading templates,https://www.forexfactory.com/thread/1219914-easy-mt4-trading-templates
Sound alert to open trade,https://www.forexfactory.com/thread/207864-sound-alert-to-open-trade
Currency Strength Indicator,https://www.forexfactory.com/thread/300750-currency-strength-indicator
Raja Banks / Don Vo Trade Manager,https://www.forexfactory.com/thread/1218222-raja-banks-don-vo-trade-manager
iPhone MT4 App,https://www.forexfactory.com/thread/1224749-iphone-mt4-app
need simple indicator for Daily green/red candle,https://www.forexfactory.com/thread/543987-need-simple-indicator-for-daily-greenred-candle
Average Candle Wick Size Indicator,https://www.forexfactory.com/thread/1223766-average-candle-wick-size-indicator
Forex Trading Sessions Indicator for MT4 - All in One,https://www.forexfactory.com/thread/995025-forex-trading-sessions-indicator-for-mt4-all
Forex Sessions indicator,https://www.forexfactory.com/thread/22997-forex-sessions-indicator
4 sessions for i-Sessions Indicator,https://www.forexfactory.com/thread/995521-4-sessions-for-i-sessions-indicator
Trying to get ex4 files to work,https://www.forexfactory.com/thread/1224428-trying-to-get-ex4-files-to-work
Programming Smart Tips,https://www.forexfactory.com/thread/1194142-programming-smart-tips
MT5 Trading Bots,https://www.forexfactory.com/thread/1179529-mt5-trading-bots
Free Coding to backtest your strategy,https://www.forexfactory.com/thread/939893-free-coding-to-backtest-your-strategy
"MT4 platform wont connect to trading account, but web mt4 will",https://www.forexfactory.com/thread/1062332-mt4-platform-wont-connect-to-trading-account-but
"EA ""Close all positions at profit target"" closed all positions at loss ?",https://www.forexfactory.com/thread/377655-ea-close-all-positions-at-profit-target-closed
MT5 Indicators and EAs,https://www.forexfactory.com/thread/889589-mt5-indicators-and-eas
How to open Buy and Sell order at the same time?,https://www.forexfactory.com/thread/242580-how-to-open-buy-and-sell-order-at
MT4 to Excel through Excel RTD (Finally!),https://www.forexfactory.com/thread/944826-mt4-to-excel-through-excel-rtd-finally
Big Number Levels Indicator,https://www.forexfactory.com/thread/1223707-big-number-levels-indicator
I cannot see the line for the opened buy/sell orders on the chart. Pls help!,https://www.forexfactory.com/thread/234092-i-cannot-see-the-line-for-the-opened
Multi-Chart-Sync (MCS),https://www.forexfactory.com/thread/683930-multi-chart-sync-mcs
Mute all mt4 platform sounds?,https://www.forexfactory.com/thread/159834-mute-all-mt4-platform-sounds
I will code your EA (Robot) for free,https://www.forexfactory.com/thread/1095009-i-will-code-your-ea-robot-for-free
Synchronise timeframes on multiple charts,https://www.forexfactory.com/thread/895344-synchronise-timeframes-on-multiple-charts
I'll code your Expert advisor for free,https://www.forexfactory.com/thread/350420-ill-code-your-expert-advisor-for-free
"""Daylight"" Dashboard",https://www.forexfactory.com/thread/1086795-daylight-dashboard
Request for working FFCal Expert Advisor indicator,https://www.forexfactory.com/thread/809836-request-for-working-ffcal-expert-advisor-indicator
Auto trade from email signals in metatrader?,https://www.forexfactory.com/thread/197285-auto-trade-from-email-signals-in-metatrader
to know difference in pips b/w MA and price,https://www.forexfactory.com/thread/1222660-to-know-difference-in-pips-bw-ma-and
request: tool to change Template by clicking visible object,https://www.forexfactory.com/thread/694764-request-tool-to-change-template-by-clicking-visible
Dashboard TZ,https://www.forexfactory.com/thread/577859-dashboard-tz
A new way to look on candlecharts in MT4: DynamicCandles,https://www.forexfactory.com/thread/165958-a-new-way-to-look-on-candlecharts-in
Running MT4 on Wine on Linux virtual machine,https://www.forexfactory.com/thread/1193438-running-mt4-on-wine-on-linux-virtual-machine
Free MT4 programming,https://www.forexfactory.com/thread/599835-free-mt4-programming
Can you FIX this MT4 Wkly Pivot Point indicator?,https://www.forexfactory.com/thread/199194-can-you-fix-this-mt4-wkly-pivot-point
New Time-Adjustable Daily Pivots Indicator for MT4,https://www.forexfactory.com/thread/5538-new-time-adjustable-daily-pivots-indicator-for-mt4
Need help with this Script,https://www.forexfactory.com/thread/1219497-need-help-with-this-script
GumRai's Dashboards,https://www.forexfactory.com/thread/578918-gumrais-dashboards
Free DXY chart (5 min),https://www.forexfactory.com/thread/1208935-free-dxy-chart-5-min
EA Coding Help,https://www.forexfactory.com/thread/563568-ea-coding-help
Dynamic Fibonacci Grid,https://www.forexfactory.com/thread/558372-dynamic-fibonacci-grid
Looking for a trend following system & indicator,https://www.forexfactory.com/thread/1222219-looking-for-a-trend-following-system-indicator
Uderfrykte tools - Indicators and EAs,https://www.forexfactory.com/thread/1021655-uderfrykte-tools-indicators-and-eas
For SWB_Grid SuperTrend EA improvement,https://www.forexfactory.com/thread/1147554-for-swbgrid-supertrend-ea-improvement
MA Crossover Dashboard,https://www.forexfactory.com/thread/519785-ma-crossover-dashboard
Remove past trade history from MT4 Charts,https://www.forexfactory.com/thread/1221923-remove-past-trade-history-from-mt4-charts
MQL4 Errors for OnCalculate,https://www.forexfactory.com/thread/1221808-mql4-errors-for-oncalculate
Modifying an ADR indicator,https://www.forexfactory.com/thread/335940-modifying-an-adr-indicator
exposure of all positions (MT4),https://www.forexfactory.com/thread/1221741-exposure-of-all-positions-mt4
EA to cancel pending order when price reaches certain level?,https://www.forexfactory.com/thread/455001-ea-to-cancel-pending-order-when-price-reaches
Convert tradeview script to MT4,https://www.forexfactory.com/thread/630171-convert-tradeview-script-to-mt4
Updated CCFp and CFP indis for relative strength trading,https://www.forexfactory.com/thread/481576-updated-ccfp-and-cfp-indis-for-relative-strength
Need Help from Coders: Get Shift of Last Day of Current Month,https://www.forexfactory.com/thread/1221245-need-help-from-coders-get-shift-of-last
RSI and Stochastic MTF Hybrid dashboard indicator,https://www.forexfactory.com/thread/587303-rsi-and-stochastic-mtf-hybrid-dashboard-indicator
Looking for a good Divergence Stochastic Indicator,https://www.forexfactory.com/thread/734097-looking-for-a-good-divergence-stochastic-indicator
#Signal Bars v10a,https://www.forexfactory.com/thread/409384-signal-bars-v10a
Indicator name help - ATR HalfLength Channel Bands,https://www.forexfactory.com/thread/1221518-indicator-name-help-atr-halflength-channel-bands
MT4 Strategy Tester doesn't go all the way,https://www.forexfactory.com/thread/363499-mt4-strategy-tester-doesnt-go-all-the-way
Hi/Low Fibonacci tool,https://www.forexfactory.com/thread/317475-hilow-fibonacci-tool
Custom Indicators vs. Technical Indicators,https://www.forexfactory.com/thread/93857-custom-indicators-vs-technical-indicators
Fix for Pairs Percent Change Indicator,https://www.forexfactory.com/thread/590969-fix-for-pairs-percent-change-indicator
Indicator for MT4 converting to MT5?,https://www.forexfactory.com/thread/782403-indicator-for-mt4-converting-to-mt5
MQL4 to MQL5 - Conversion Process,https://www.forexfactory.com/thread/1127551-mql4-to-mql5-conversion-process
"MT4: disable trading, warn, or do something if Spread >x?",https://www.forexfactory.com/thread/511214-mt4-disable-trading-warn-or-do-something-if
Vivaldi Browser Options for Displaying you Favourite FX Web Sites,https://www.forexfactory.com/thread/1221101-vivaldi-browser-options-for-displaying-you-favourite-fx
Moving Average Colored High / Low,https://www.forexfactory.com/thread/834295-moving-average-colored-high-low
EA to grow small accounts?,https://www.forexfactory.com/thread/1221018-ea-to-grow-small-accounts
Break Even Line for Multiple Order (Indicator),https://www.forexfactory.com/thread/594407-break-even-line-for-multiple-order-indicator
Non repainting fractals indicator?,https://www.forexfactory.com/thread/130435-non-repainting-fractals-indicator
Need a Limit Order Grid EA/Script or Please Edit the Attached EA,https://www.forexfactory.com/thread/1220923-need-a-limit-order-grid-eascript-or-please
Daily Boxes/Lines indicator,https://www.forexfactory.com/thread/256848-daily-boxeslines-indicator
Indicator/Dashboard of Range%,https://www.forexfactory.com/thread/442234-indicatordashboard-of-range
mt4 to mt5 converter,https://www.forexfactory.com/thread/293190-mt4-to-mt5-converter
Major problems with Strategy Tester,https://www.forexfactory.com/thread/7853-major-problems-with-strategy-tester
SMC Indicators,https://www.forexfactory.com/thread/1210249-smc-indicators
The mother of all dashboards,https://www.forexfactory.com/thread/570593-the-mother-of-all-dashboards
Continuous Append CSV File,https://www.forexfactory.com/thread/197470-continuous-append-csv-file
Notepad++ as editor,https://www.forexfactory.com/thread/662494-notepad-as-editor
RSI Dash,https://www.forexfactory.com/thread/1046006-rsi-dash
How to start MT4 from data folder,https://www.forexfactory.com/thread/1214174-how-to-start-mt4-from-data-folder
Should I Learn MQL4 and WHY?,https://www.forexfactory.com/thread/68974-should-i-learn-mql4-and-why
MT4 Enhanced chart cross-hairs with automatic chart-sync,https://www.forexfactory.com/thread/693053-mt4-enhanced-chart-cross-hairs-with-automatic-chart-sync
Zigzagy Auto Fibo (Need some help with Obj_expansion code),https://www.forexfactory.com/thread/91758-zigzagy-auto-fibo-need-some-help-with-objexpansion
MT4 News Calendar Indicator,https://www.forexfactory.com/thread/326551-mt4-news-calendar-indicator
"cannot see toolbars, terminal, market watch ...",https://www.forexfactory.com/thread/278527-cannot-see-toolbars-terminal-market-watch
OGT Trend Dashboard v1.2 [MT5 Indicator Release],https://www.forexfactory.com/thread/1058961-ogt-trend-dashboard-v12-mt5-indicator-release
Myforexfunds configuration server file,https://www.forexfactory.com/thread/1220114-myforexfunds-configuration-server-file
Free 100% Non Repaint High accurate Arrow Indicator for You,https://www.forexfactory.com/thread/1023149-free-100-non-repaint-high-accurate-arrow-indicator
MQL4: does ChartObjectsTxtControls support multiple lines text?,https://www.forexfactory.com/thread/1219347-mql4-does-chartobjectstxtcontrols-support-multiple-lines-text
EAbuilder,https://www.forexfactory.com/thread/1008794-eabuilder
MyCorner - tools,https://www.forexfactory.com/thread/1181767-mycorner-tools
FF Calendar Indicator for MT,https://www.forexfactory.com/thread/19293-ff-calendar-indicator-for-mt
[MT4] Changing the visible timeframes of multiple objects?,https://www.forexfactory.com/thread/907317-mt4-changing-the-visible-timeframes-of-multiple-objects
Session V-lines visualizing ahead Indicator,https://www.forexfactory.com/thread/1211543-session-v-lines-visualizing-ahead-indicator
MT4 Rectangle Indicator (Right side auto alignment),https://www.forexfactory.com/thread/392082-mt4-rectangle-indicator-right-side-auto-alignment
zee money maker indicator,https://www.forexfactory.com/thread/1218962-zee-money-maker-indicator
request: RSI histogram,https://www.forexfactory.com/thread/94611-request-rsi-histogram
Need help: Change EA from sleep to delay,https://www.forexfactory.com/thread/1219239-need-help-change-ea-from-sleep-to-delay
Reversed promising results EA (coders please view),https://www.forexfactory.com/thread/1218247-reversed-promising-results-ea-coders-please-view
Does anyone have MT5 script to summarize today's trades?,https://www.forexfactory.com/thread/1219223-does-anyone-have-mt5-script-to-summarize-todays
Best trailing stop EA,https://www.forexfactory.com/thread/1219087-best-trailing-stop-ea
MT5 Pivot Points with Future Plot,https://www.forexfactory.com/thread/985048-mt5-pivot-points-with-future-plot
MQL4 - FileWrite not working in strategy tester,https://www.forexfactory.com/thread/569894-mql4-filewrite-not-working-in-strategy-tester
Indi by ChatGPT,https://www.forexfactory.com/thread/1214343-indi-by-chatgpt
Speedometer (Points/Sec),https://www.forexfactory.com/thread/538347-speedometer-pointssec
How to Change Order Lines Color,https://www.forexfactory.com/thread/496375-how-to-change-order-lines-color
How to backtest different 1000 settings?,https://www.forexfactory.com/thread/1218852-how-to-backtest-different-1000-settings
Square of 9 level calculator,https://www.forexfactory.com/thread/1218225-square-of-9-level-calculator
MTF ATR Version of this indicator required,https://www.forexfactory.com/thread/841267-mtf-atr-version-of-this-indicator-required
"Broker Monitoring EA (Spreads, Latency, Slippage Etc)",https://www.forexfactory.com/thread/922675-broker-monitoring-ea-spreads-latency-slippage-etc
Trade Copier Technology,https://www.forexfactory.com/thread/1218219-trade-copier-technology
Anyone know an EA to Move existing Take Profit level?,https://www.forexfactory.com/thread/1218420-anyone-know-an-ea-to-move-existing-take
Move TP to -x pips if trade goes -x pips ea,https://www.forexfactory.com/thread/998137-move-tp-to-x-pips-if-trade-goes
Multi-colored lines MT4 Fib Tool,https://www.forexfactory.com/thread/460461-multi-colored-lines-mt4-fib-tool
Expert advisor execution on ECN accounts,https://www.forexfactory.com/thread/379767-expert-advisor-execution-on-ecn-accounts
OHLC Display,https://www.forexfactory.com/thread/1086952-ohlc-display
The Best Pivot Points Indicator Ever,https://www.forexfactory.com/thread/538297-the-best-pivot-points-indicator-ever
Timeframe and symbol changer for MT5,https://www.forexfactory.com/thread/775659-timeframe-and-symbol-changer-for-mt5
Inserting wingding symbols MT,https://www.forexfactory.com/thread/425055-inserting-wingding-symbols-mt
Trading Sim Settings,https://www.forexfactory.com/thread/1218218-trading-sim-settings
TP Indicator for trades open in percentage and account value,https://www.forexfactory.com/thread/904714-tp-indicator-for-trades-open-in-percentage-and
Shortcut Key add text,https://www.forexfactory.com/thread/1218145-shortcut-key-add-text
News Indicator MT4 (Stable) - Based on FF Calendar and Others,https://www.forexfactory.com/thread/906603-news-indicator-mt4-stable-based-on-ff
Free Panel To Place Trade Orders,https://www.forexfactory.com/thread/1218172-free-panel-to-place-trade-orders
"Modified, useful MQ4 utilities, indicators, and related tips",https://www.forexfactory.com/thread/662529-modified-useful-mq4-utilities-indicators-and-related-tips
Request: EA to close open orders of user-defined pairs & time,https://www.forexfactory.com/thread/1217971-request-ea-to-close-open-orders-of-user-defined
need help to code to create gann based indicator,https://www.forexfactory.com/thread/594905-need-help-to-code-to-create-gann-based
Request And Idea,https://www.forexfactory.com/thread/958978-request-and-idea
Yet another news reader...,https://www.forexfactory.com/thread/705989-yet-another-news-reader
Auto Click a Yes Box on existing EA,https://www.forexfactory.com/thread/1217431-auto-click-a-yes-box-on-existing-ea
Any EA for MagicStick/Trendline Trading,https://www.forexfactory.com/thread/1217368-any-ea-for-magicsticktrendline-trading
MT4 Market TAB Error,https://www.forexfactory.com/thread/1217378-mt4-market-tab-error
Highest & Lowest Open/Close Price for a Loop,https://www.forexfactory.com/thread/1100816-highest-lowest-openclose-price-for-a-loop
EAs and copy trading,https://www.forexfactory.com/thread/974400-eas-and-copy-trading
Software with historical data to backtest in live way,https://www.forexfactory.com/thread/1217052-software-with-historical-data-to-backtest-in-live
EA to close trade at X pips profit or loss?,https://www.forexfactory.com/thread/476543-ea-to-close-trade-at-x-pips-profit
Indicator  Juncky,https://www.forexfactory.com/thread/546414-indicator-juncky
Any Grid EA that trades when the drawdown % = Fibo sequence?,https://www.forexfactory.com/thread/1217097-any-grid-ea-that-trades-when-the-drawdown
Buy Stop Limit and Sell Stop Limit Orders on MT4,https://www.forexfactory.com/thread/919307-buy-stop-limit-and-sell-stop-limit-orders
Simple Buy and Sell Button EA for MT4,https://www.forexfactory.com/thread/579149-simple-buy-and-sell-button-ea-for-mt4
Simple Buy/Sell Stop Limit EA,https://www.forexfactory.com/thread/968338-simple-buysell-stop-limit-ea
Please help in integrating Indicators into EA please,https://www.forexfactory.com/thread/1215950-please-help-in-integrating-indicators-into-ea-please
Indicators for the 'Trading Made Simple' system,https://www.forexfactory.com/thread/294327-indicators-for-the-trading-made-simple-system
GAP Money Manager,https://www.forexfactory.com/thread/1217092-gap-money-manager
Candle Change Indicator with alarm,https://www.forexfactory.com/thread/617588-candle-change-indicator-with-alarm
Question about selling Expert Advisor,https://www.forexfactory.com/thread/177328-question-about-selling-expert-advisor
Manage Take Profit EA,https://www.forexfactory.com/thread/9553-manage-take-profit-ea
Converting mq4 to mq5,https://www.forexfactory.com/thread/927861-converting-mq4-to-mq5
Indicator to identify tops and bottoms?,https://www.forexfactory.com/thread/1216427-indicator-to-identify-tops-and-bottoms
MT4-Interactive Brokers Trade Copier,https://www.forexfactory.com/thread/1216935-mt4-interactive-brokers-trade-copier
FFx Universal Strength Meter,https://www.forexfactory.com/thread/565276-ffx-universal-strength-meter
Best Currency Strength Meter and why?,https://www.forexfactory.com/thread/377527-best-currency-strength-meter-and-why
"Only about making much money, requesting EAs and myself",https://www.forexfactory.com/thread/801938-only-about-making-much-money-requesting-eas-and
BTCUSD spread in mt4 strategy tester not working,https://www.forexfactory.com/thread/1216448-btcusd-spread-in-mt4-strategy-tester-not-working
OHLC of Previous H4 candles; Indicator Request!,https://www.forexfactory.com/thread/1073736-ohlc-of-previous-h4-candles-indicator-request
Auto Scroll & Chart Shift Script,https://www.forexfactory.com/thread/1135537-auto-scroll-chart-shift-script
Adding push notifications to every indicator,https://www.forexfactory.com/thread/1069182-adding-push-notifications-to-every-indicator
Experiments - while waiting for an order to get closed,https://www.forexfactory.com/thread/643374-experiments-while-waiting-for-an-order-to
MQL4 or MQL5 Scaling out of position - Code?,https://www.forexfactory.com/thread/1216040-mql4-or-mql5-scaling-out-of-position
Auto refresh indicator capability for mt4?,https://www.forexfactory.com/thread/492302-auto-refresh-indicator-capability-for-mt4
Creating Metatrader DLLs with Lazarus / Free Pascal,https://www.forexfactory.com/thread/219576-creating-metatrader-dlls-with-lazarus-free-pascal
Hanover replies to PMs,https://www.forexfactory.com/thread/346227-hanover-replies-to-pms
Trade Manager for MT4,https://www.forexfactory.com/thread/936447-trade-manager-for-mt4
help coding push notification for two MA crossing,https://www.forexfactory.com/thread/1215981-help-coding-push-notification-for-two-ma-crossing
isMarketClosed for all countries,https://www.forexfactory.com/thread/1215948-ismarketclosed-for-all-countries
MT5 indicators that will take your trading to the next level,https://www.forexfactory.com/thread/1215719-mt5-indicators-that-will-take-your-trading-to
EA/Script for Multiple Pending BL/BS/SL/SS with lot size,https://www.forexfactory.com/thread/416163-eascript-for-multiple-pending-blbsslss-with-lot-size
"Help with this indicator, adding two lines to daily open",https://www.forexfactory.com/thread/1215682-help-with-this-indicator-adding-two-lines-to
MT4 horizontal line price marker display help in mq4,https://www.forexfactory.com/thread/400633-mt4-horizontal-line-price-marker-display-help-in
Converting Indicators from MT4 to MT5?,https://www.forexfactory.com/thread/389121-converting-indicators-from-mt4-to-mt5
A dashboard over the crossing of two moving average,https://www.forexfactory.com/thread/429350-a-dashboard-over-the-crossing-of-two-moving
Way to combine 2 strings to call a var?,https://www.forexfactory.com/thread/1215548-way-to-combine-2-strings-to-call-a
